strategy,min_spd,max_spd,mean_spd,median_spd,min_pct,max_pct,mean_pct,median_pct,avg_excess_pct,runtime_seconds,score,statements,cyclomatic,nesting,high_threats,medium_threats,low_threats,total_threats
uniform_dca,980580.6829419928,980580.6829419928,980580.6829419928,980580.6829419928,49.50977564918109,49.50977564918109,49.50977564918109,49.50977564918109,0.0,0.4673960208892822,72.5,35,8,4,0,0,0,0
dynamic_dca,980580.6829419928,980580.6829419928,980580.6829419928,980580.6829419928,49.50977564918109,49.50977564918109,49.50977564918109,49.50977564918109,0.0,0.4678480625152588,72.5,35,8,4,0,0,0,0
dynamic_dca_100ma,980580.6829419928,980580.6829419928,980580.6829419928,980580.6829419928,49.50977564918109,49.50977564918109,49.50977564918109,49.50977564918109,0.0,0.46981310844421387,72.5,35,8,4,0,0,0,0
dynamic_dca_50ma,980580.6829419928,980580.6829419928,980580.6829419928,980580.6829419928,49.50977564918109,49.50977564918109,49.50977564918109,49.50977564918109,0.0,0.46704888343811035,72.5,35,8,4,0,0,0,0
