cycle,min_spd,max_spd,uniform_spd,dynamic_spd,uniform_pct,dynamic_pct,excess_pct,strategy
2020–2020,961538.4615384616,1000000.0,980580.6829419928,980580.6829419928,49.50977564918109,49.50977564918109,0.0,uniform_dca
2020–2020,961538.4615384616,1000000.0,980580.6829419928,980580.6829419928,49.50977564918109,49.50977564918109,0.0,dynamic_dca
2020–2020,961538.4615384616,1000000.0,980580.6829419928,980580.6829419928,49.50977564918109,49.50977564918109,0.0,dynamic_dca_100ma
2020–2020,961538.4615384616,1000000.0,980580.6829419928,980580.6829419928,49.50977564918109,49.50977564918109,0.0,dynamic_dca_50ma
